,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,Year,Month
6068,4343,2,Detached House,1/03/2020,1/04/2020,1/05/2020,Community Housing,IPSWICH HSC,33,29,62,Lockyer Valley,Lockyer,2020,2020-05
6069,4570,1,Detached House,1/03/2020,1/03/2020,1/04/2020,Community Housing,MAROOCHYDORE HSC,0,17,17,Gympie,Gympie,2020,2020-04
6070,4570,1,Apartment,1/11/2019,1/11/2019,1/01/2020,Community Housing,MAROOCHYDORE HSC,0,51,51,Gympie,Gympie,2020,2020-01
6071,4350,3,Apartment,1/05/2020,1/06/2020,1/06/2020,Community Housing,TOOWOOMBA AND SOUTH WEST HSC,11,22,33,Toowoomba,Toowoomba North,2020,2020-06
6072,4350,1,Senior Unit,1/08/2018,1/06/2019,1/05/2020,Community Housing,TOOWOOMBA AND SOUTH WEST HSC,314,329,643,Toowoomba,Toowoomba North,2020,2020-05
6073,4883,2,Senior Unit,1/02/2020,1/02/2020,1/03/2020,Community Housing,CAIRNS HSC,0,11,11,Tablelands,Hill,2020,2020-03
6074,4883,2,Senior Unit,1/04/2020,1/04/2020,1/04/2020,Community Housing,CAIRNS HSC,0,14,14,Tablelands,Hill,2020,2020-04
6075,4883,2,Apartment,1/03/2020,1/03/2020,1/04/2020,Community Housing,CAIRNS HSC,0,31,31,Tablelands,Hill,2020,2020-04
6076,4883,2,Apartment,1/05/2020,1/05/2020,1/05/2020,Community Housing,CAIRNS HSC,0,1,1,Tablelands,Hill,2020,2020-05
6077,4883,2,Cluster Housing,1/08/2019,1/08/2019,1/09/2019,Community Housing,CAIRNS HSC,0,40,40,Tablelands,Hill,2019,2019-09
6078,4883,2,Senior Unit,1/05/2020,1/05/2020,1/06/2020,Community Housing,CAIRNS HSC,0,21,21,Tablelands,Hill,2020,2020-06
6079,4883,2,Senior Unit,1/05/2020,1/05/2020,1/06/2020,Community Housing,CAIRNS HSC,0,22,22,Tablelands,Hill,2020,2020-06
6080,4883,3,Senior Unit,1/07/2019,1/07/2019,1/07/2019,Community Housing,CAIRNS HSC,0,16,16,Tablelands,Hill,2019,2019-07
6081,4883,2,Senior Unit,1/05/2020,1/05/2020,1/05/2020,Community Housing,CAIRNS HSC,0,12,12,Tablelands,Hill,2020,2020-05
6082,4883,2,Senior Unit,1/11/2019,1/11/2019,1/11/2019,Community Housing,CAIRNS HSC,0,12,12,Tablelands,Hill,2019,2019-11
6084,4883,2,Detached House,1/04/2020,1/04/2020,1/04/2020,Community Housing,CAIRNS HSC,0,6,6,Tablelands,Hill,2020,2020-04
6085,4880,2,Apartment,1/02/2020,1/02/2020,1/03/2020,Community Housing,CAIRNS HSC,0,28,28,Mareeba,Cook,2020,2020-03
6086,4880,2,Apartment,1/09/2019,1/01/2020,1/02/2020,Community Housing,CAIRNS HSC,123,17,140,Mareeba,Cook,2020,2020-02
6087,4880,2,Senior Unit,1/07/2019,1/07/2019,1/08/2019,Community Housing,CAIRNS HSC,0,10,10,Mareeba,Cook,2019,2019-08
6088,4880,2,Senior Unit,1/02/2020,1/02/2020,1/03/2020,Community Housing,CAIRNS HSC,0,31,31,Mareeba,Cook,2020,2020-03
6089,4880,2,Apartment,1/04/2020,1/04/2020,1/05/2020,Community Housing,CAIRNS HSC,0,33,33,Mareeba,Cook,2020,2020-05
6090,4880,3,Apartment,1/08/2019,1/08/2019,1/08/2019,Community Housing,CAIRNS HSC,0,12,12,Mareeba,Cook,2019,2019-08
6091,4880,3,Apartment,1/07/2019,1/07/2019,1/08/2019,Community Housing,CAIRNS HSC,0,11,11,Mareeba,Cook,2019,2019-08
6092,4650,2,Apartment,1/02/2020,1/02/2020,1/03/2020,Community Housing,MARYBOROUGH HSC,0,31,31,Fraser Coast,Maryborough,2020,2020-03
6093,4650,2,Apartment,1/04/2020,1/04/2020,1/05/2020,Community Housing,MARYBOROUGH HSC,0,44,44,Fraser Coast,Maryborough,2020,2020-05
6094,4655,2,Apartment,1/01/2020,1/01/2020,1/01/2020,Community Housing,MARYBOROUGH HSC,0,5,5,Fraser Coast,Hervey Bay,2020,2020-01
6095,4655,3,Apartment,1/05/2020,1/06/2020,1/06/2020,Community Housing,MARYBOROUGH HSC,25,2,27,Fraser Coast,Hervey Bay,2020,2020-06
6096,4655,4,Apartment,1/10/2019,1/10/2019,1/11/2019,Community Housing,MARYBOROUGH HSC,6,10,16,Fraser Coast,Hervey Bay,2019,2019-11
6097,4655,3,Apartment,1/02/2020,1/03/2020,1/03/2020,Community Housing,MARYBOROUGH HSC,23,1,24,Fraser Coast,Hervey Bay,2020,2020-03
6098,4655,2,Apartment,1/05/2020,1/05/2020,1/06/2020,Community Housing,MARYBOROUGH HSC,0,18,18,Fraser Coast,Hervey Bay,2020,2020-06
6099,4670,3,Apartment,1/07/2019,1/07/2019,1/08/2019,Community Housing,BUNDABERG HSC,0,23,23,Bundaberg,Bundaberg,2019,2019-08
6100,4670,3,Apartment,1/12/2019,1/12/2019,1/12/2019,Community Housing,BUNDABERG HSC,7,0,7,Bundaberg,Bundaberg,2019,2019-12
6101,4670,2,Apartment,1/11/2019,1/11/2019,1/12/2019,Community Housing,BUNDABERG HSC,7,20,27,Bundaberg,Bundaberg,2019,2019-12
6102,4670,1,Detached House,1/08/2019,1/08/2019,1/08/2019,Community Housing,BUNDABERG HSC,8,1,9,Bundaberg,Bundaberg,2019,2019-08
6103,4670,2,Detached House,1/07/2019,1/07/2019,1/07/2019,Community Housing,BUNDABERG HSC,17,0,17,Bundaberg,Bundaberg,2019,2019-07
6104,4670,2,Detached House,1/03/2020,1/03/2020,1/03/2020,Community Housing,BUNDABERG HSC,13,0,13,Bundaberg,Bundaberg,2020,2020-03
6105,4670,2,Apartment,1/04/2020,1/04/2020,1/04/2020,Community Housing,BUNDABERG HSC,17,0,17,Bundaberg,Bundaberg,2020,2020-04
6106,4670,3,Apartment,1/09/2019,1/09/2019,1/09/2019,Community Housing,BUNDABERG HSC,7,0,7,Bundaberg,Bundaberg,2019,2019-09
6107,4670,2,Apartment,1/08/2019,1/08/2019,1/08/2019,Community Housing,BUNDABERG HSC,8,5,13,Bundaberg,Bundaberg,2019,2019-08
6108,4157,3,Apartment,1/12/2019,1/01/2020,1/01/2020,Community Housing,BAYSIDE HSC,22,0,22,Redland,Capalaba,2020,2020-01
6109,4157,2,Dual Occupancy,1/06/2020,1/06/2020,1/06/2020,Community Housing,BAYSIDE HSC,13,0,13,Redland,Capalaba,2020,2020-06
6110,4179,3,Apartment,1/11/2019,1/11/2019,1/12/2019,Community Housing,BAYSIDE HSC,6,28,34,Brisbane,Lytton,2019,2019-12
6112,4178,3,Apartment,1/05/2019,1/07/2019,1/07/2019,Community Housing,BAYSIDE HSC,63,0,63,Brisbane,Lytton,2019,2019-07
6113,4178,3,Apartment,1/06/2019,1/08/2019,1/08/2019,Community Housing,BAYSIDE HSC,39,10,49,Brisbane,Lytton,2019,2019-08
6114,4740,2,Detached House,1/01/2020,1/01/2020,1/02/2020,Community Housing,MACKAY HSC,0,22,22,Mackay,Mackay,2020,2020-02
6115,4740,2,Apartment,1/06/2020,1/06/2020,1/06/2020,Community Housing,MACKAY HSC,1,6,7,Mackay,Mackay,2020,2020-06
6116,4740,2,Apartment,1/08/2019,1/08/2019,1/08/2019,Community Housing,MACKAY HSC,0,8,8,Mackay,Mackay,2019,2019-08
6117,4740,2,Apartment,1/12/2019,1/12/2019,1/12/2019,Community Housing,MACKAY HSC,0,6,6,Mackay,Mackay,2019,2019-12
6118,4740,3,Apartment,1/01/2020,1/01/2020,1/01/2020,Community Housing,MACKAY HSC,4,3,7,Mackay,Mackay,2020,2020-01
6119,4740,3,Apartment,1/07/2019,1/07/2019,1/07/2019,Community Housing,MACKAY HSC,0,8,8,Mackay,Mackay,2019,2019-07
6120,4740,2,Apartment,1/08/2019,1/08/2019,1/08/2019,Community Housing,MACKAY HSC,0,7,7,Mackay,Mackay,2019,2019-08
6121,4740,2,Apartment,1/05/2020,1/05/2020,1/06/2020,Community Housing,MACKAY HSC,0,9,9,Mackay,Mackay,2020,2020-06
6122,4812,2,Apartment,1/02/2020,1/02/2020,1/03/2020,Community Housing,TOWNSVILLE HSC,0,21,21,Townsville,Townsville,2020,2020-03
6123,4812,2,Apartment,1/01/2020,1/01/2020,1/02/2020,Community Housing,TOWNSVILLE HSC,0,14,14,Townsville,Townsville,2020,2020-02
6124,4810,2,Apartment,1/08/2019,1/09/2019,1/09/2019,Community Housing,TOWNSVILLE HSC,4,6,10,Townsville,Townsville,2019,2019-09
6125,4810,2,Apartment,1/03/2020,1/03/2020,1/03/2020,Community Housing,TOWNSVILLE HSC,0,20,20,Townsville,Townsville,2020,2020-03
6126,4152,3,Apartment,1/07/2019,1/08/2019,1/08/2019,Community Housing,BURANDA HSC,22,7,29,Brisbane,Greenslopes,2019,2019-08
6127,4109,4,Apartment,1/03/2020,1/04/2020,1/05/2020,Community Housing,BURANDA HSC,28,9,37,Brisbane,Stretton,2020,2020-05
6128,4053,3,Apartment,1/02/2020,1/02/2020,1/03/2020,Community Housing,CHERMSIDE HSC,0,15,15,Brisbane,Everton,2020,2020-03
6129,4053,4,Apartment,1/06/2019,1/07/2019,1/07/2019,Community Housing,CHERMSIDE HSC,27,0,27,Brisbane,Everton,2019,2019-07
6130,4013,2,Apartment,1/03/2020,1/03/2020,1/04/2020,Community Housing,CHERMSIDE HSC,7,8,15,Brisbane,Nudgee,2020,2020-04
6131,4013,3,Apartment,1/06/2019,1/07/2019,1/07/2019,Community Housing,CHERMSIDE HSC,15,1,16,Brisbane,Nudgee,2019,2019-07
6132,4012,2,Apartment,1/02/2020,1/03/2020,1/03/2020,Community Housing,CHERMSIDE HSC,10,7,17,Brisbane,Nudgee,2020,2020-03
6133,4011,2,Apartment,1/06/2019,1/06/2019,1/07/2019,Community Housing,FORTITUDE VALLEY HSC,14,18,32,Brisbane,Clayfield,2019,2019-07
6134,4011,2,Apartment,1/03/2020,1/03/2020,1/04/2020,Community Housing,FORTITUDE VALLEY HSC,1,38,39,Brisbane,Clayfield,2020,2020-04
6135,4051,2,Apartment,1/01/2020,1/01/2020,1/01/2020,Community Housing,FORTITUDE VALLEY HSC,8,0,8,Brisbane,Cooper,2020,2020-01
6136,4030,1,Apartment,1/08/2019,1/08/2019,1/08/2019,Community Housing,FORTITUDE VALLEY HSC,0,7,7,Brisbane,Clayfield,2019,2019-08
6137,4030,1,Apartment,1/04/2020,1/05/2020,1/05/2020,Community Housing,FORTITUDE VALLEY HSC,14,2,16,Brisbane,Clayfield,2020,2020-05
6139,4870,3,Apartment,1/12/2019,1/12/2019,1/01/2020,Community Housing,CAIRNS HSC,9,32,41,Cairns,Cairns,2020,2020-01
6140,4870,3,Apartment,1/08/2019,1/08/2019,1/08/2019,Community Housing,CAIRNS HSC,0,15,15,Cairns,Cairns,2019,2019-08
6141,4870,4,Apartment,1/06/2019,1/06/2019,1/07/2019,Community Housing,CAIRNS HSC,0,27,27,Cairns,Cairns,2019,2019-07
6142,4870,4,Apartment,1/09/2019,1/09/2019,1/09/2019,Community Housing,CAIRNS HSC,0,5,5,Cairns,Cairns,2019,2019-09
6143,4870,3,Apartment,1/04/2020,1/04/2020,1/05/2020,Community Housing,CAIRNS HSC,0,6,6,Cairns,Cairns,2020,2020-05
6144,4868,3,Apartment,1/09/2019,1/09/2019,1/10/2019,Community Housing,CAIRNS HSC,0,8,8,Cairns,Mulgrave,2019,2019-10
6145,4034,4,Apartment,1/08/2019,1/08/2019,1/08/2019,Community Housing,CHERMSIDE HSC,0,9,9,Brisbane,Aspley,2019,2019-08
6146,4014,2,Apartment,1/02/2020,1/02/2020,1/04/2020,Community Housing,CHERMSIDE HSC,0,38,38,Brisbane,Nudgee,2020,2020-04
6147,4502,3,Apartment,1/10/2019,1/10/2019,1/11/2019,Community Housing,MORETON BAY HSC,0,21,21,Moreton Bay,Kurwongbah,2019,2019-11
6148,4019,2,Apartment,1/02/2020,1/03/2020,1/04/2020,Community Housing,MORETON BAY HSC,6,57,63,Moreton Bay,Redcliffe,2020,2020-04
6149,4502,2,Apartment,1/04/2020,1/05/2020,1/05/2020,Community Housing,MORETON BAY HSC,30,13,43,Moreton Bay,Kurwongbah,2020,2020-05
6150,4680,1,Apartment,1/09/2019,1/09/2019,1/01/2020,Community Housing,GLADSTONE HSC,1,137,138,Gladstone,Gladstone,2020,2020-01
6151,4680,2,Apartment,1/05/2019,1/05/2019,1/08/2019,Community Housing,GLADSTONE HSC,0,74,74,Gladstone,Gladstone,2019,2019-08
6152,4680,2,Detached House,1/11/2019,1/01/2020,1/06/2020,Community Housing,GLADSTONE HSC,47,161,208,Gladstone,Gladstone,2020,2020-06
6153,4680,2,Apartment,1/11/2019,1/11/2019,1/01/2020,Community Housing,GLADSTONE HSC,0,61,61,Gladstone,Gladstone,2020,2020-01
6154,4680,1,Apartment,1/12/2019,1/05/2020,1/06/2020,Community Housing,GLADSTONE HSC,175,10,185,Gladstone,Gladstone,2020,2020-06
6155,4680,2,Apartment,1/09/2019,1/09/2019,1/09/2019,Public Housing,GLADSTONE HSC,0,1,1,Gladstone,Gladstone,2019,2019-09
6156,4680,2,Apartment,1/09/2019,1/10/2019,1/10/2019,Public Housing,GLADSTONE HSC,19,8,27,Gladstone,Gladstone,2019,2019-10
6157,4680,2,Apartment,1/03/2020,1/03/2020,1/04/2020,Community Housing,GLADSTONE HSC,0,31,31,Gladstone,Gladstone,2020,2020-04
6158,4505,2,Apartment,1/04/2019,1/09/2019,1/09/2019,Community Housing,MORETON BAY HSC,162,1,163,Moreton Bay,Kurwongbah,2019,2019-09
6159,4505,3,Attached Housing,1/06/2019,1/06/2019,1/07/2019,Community Housing,MORETON BAY HSC,0,19,19,Moreton Bay,Kurwongbah,2019,2019-07
6160,4506,2,Apartment,1/09/2019,1/09/2019,1/09/2019,Community Housing,MORETON BAY HSC,0,1,1,Moreton Bay,Morayfield,2019,2019-09
6161,4860,2,Duplex,1/12/2019,1/12/2019,1/12/2019,Community Housing,CAIRNS HSC,0,11,11,Cassowary Coast,Hill,2019,2019-12
6162,4060,2,Senior Unit,1/07/2019,1/07/2019,1/08/2019,Community Housing,FORTITUDE VALLEY HSC,0,14,14,Brisbane,Cooper,2019,2019-08
6163,4060,2,Apartment,1/02/2020,1/02/2020,1/03/2020,Community Housing,FORTITUDE VALLEY HSC,2,20,22,Brisbane,Cooper,2020,2020-03
6164,4060,2,Apartment,1/05/2019,1/08/2019,1/09/2019,Community Housing,FORTITUDE VALLEY HSC,83,42,125,Brisbane,Cooper,2019,2019-09
6165,4060,2,Apartment,1/02/2019,1/07/2019,1/08/2019,Community Housing,FORTITUDE VALLEY HSC,148,21,169,Brisbane,Cooper,2019,2019-08
6166,4105,3,Apartment,1/12/2019,1/01/2020,1/01/2020,Community Housing,BURANDA HSC,19,1,20,Brisbane,Toohey,2020,2020-01
6167,4106,2,Apartment,1/01/2020,1/01/2020,1/01/2020,Community Housing,BURANDA HSC,1,2,3,Brisbane,Toohey,2020,2020-01
6168,4106,2,Apartment,1/11/2019,1/11/2019,1/11/2019,Community Housing,BURANDA HSC,4,7,11,Brisbane,Toohey,2019,2019-11
6169,4106,2,Apartment,1/08/2019,1/09/2019,1/09/2019,Community Housing,BURANDA HSC,20,9,29,Brisbane,Toohey,2019,2019-09
6170,4869,3,Apartment,1/02/2020,1/02/2020,1/03/2020,Community Housing,CAIRNS HSC,0,17,17,Cairns,Mulgrave,2020,2020-03
6171,4870,2,Apartment,1/07/2019,1/07/2019,1/08/2019,Community Housing,CAIRNS HSC,0,27,27,Cairns,Cairns,2019,2019-08
6172,4870,2,Apartment,1/02/2020,1/02/2020,1/02/2020,Community Housing,CAIRNS HSC,0,11,11,Cairns,Cairns,2020,2020-02
6173,4870,1,Attached Housing,1/08/2019,1/08/2019,1/09/2019,Community Housing,CAIRNS HSC,0,21,21,Cairns,Cairns,2019,2019-09
6174,4870,1,Apartment,1/02/2020,1/02/2020,1/02/2020,Community Housing,CAIRNS HSC,0,7,7,Cairns,Cairns,2020,2020-02
6175,4873,2,Apartment,1/06/2019,1/06/2019,1/07/2019,Community Housing,CAIRNS HSC,0,50,50,Douglas,Cook,2019,2019-07
6176,4877,2,Apartment,1/01/2020,1/01/2020,1/02/2020,Community Housing,CAIRNS HSC,0,29,29,Douglas,Cook,2020,2020-02
6177,4877,2,Apartment,1/08/2019,1/08/2019,1/09/2019,Community Housing,CAIRNS HSC,0,28,28,Douglas,Cook,2019,2019-09
6178,4868,2,Apartment,1/04/2020,1/04/2020,1/05/2020,Community Housing,CAIRNS HSC,0,21,21,Cairns,Mulgrave,2020,2020-05
6179,4868,2,Apartment,1/12/2019,1/12/2019,1/12/2019,Community Housing,CAIRNS HSC,3,0,3,Cairns,Mulgrave,2019,2019-12
6180,4868,3,Apartment,1/08/2019,1/08/2019,1/09/2019,Community Housing,CAIRNS HSC,0,16,16,Cairns,Mulgrave,2019,2019-09
6181,4122,2,Apartment,1/12/2019,1/01/2020,1/01/2020,Community Housing,BURANDA HSC,24,11,35,Brisbane,Mansfield,2020,2020-01
6182,4810,2,Apartment,1/11/2019,1/11/2019,1/11/2019,Community Housing,TOWNSVILLE HSC,0,13,13,Townsville,Townsville,2019,2019-11
6183,4810,2,Detached House,1/06/2020,1/06/2020,1/06/2020,Community Housing,TOWNSVILLE HSC,0,6,6,Townsville,Townsville,2020,2020-06
6184,4350,1,Apartment,1/09/2019,1/09/2019,1/09/2019,Public Housing,TOOWOOMBA AND SOUTH WEST HSC,2,14,16,Toowoomba,Toowoomba South,2019,2019-09
6185,4350,1,Apartment,1/09/2019,1/10/2019,1/01/2020,Public Housing,TOOWOOMBA AND SOUTH WEST HSC,7,111,118,Toowoomba,Toowoomba South,2020,2020-01
6186,4014,1,Detached House,1/05/2019,1/05/2019,1/07/2019,Community Housing,CHERMSIDE HSC,8,53,61,Brisbane,Nudgee,2019,2019-07
6187,4670,1,Apartment,1/02/2020,1/02/2020,1/02/2020,Community Housing,BUNDABERG HSC,0,3,3,Bundaberg,Bundaberg,2020,2020-02
6188,4564,2,Attached Housing,1/05/2020,1/05/2020,1/06/2020,Community Housing,MAROOCHYDORE HSC,0,16,16,Sunshine Coast,Maroochydore,2020,2020-06
6189,4564,2,Duplex,1/06/2019,1/06/2019,1/07/2019,Community Housing,MAROOCHYDORE HSC,4,17,21,Sunshine Coast,Maroochydore,2019,2019-07
6190,4564,2,Detached House,1/05/2020,1/05/2020,1/06/2020,Community Housing,MAROOCHYDORE HSC,0,29,29,Sunshine Coast,Maroochydore,2020,2020-06
6191,4567,3,Apartment,1/04/2020,1/04/2020,1/05/2020,Community Housing,MAROOCHYDORE HSC,0,34,34,Noosa,Noosa,2020,2020-05
6192,4565,2,Detached House,1/07/2019,1/07/2019,1/08/2019,Community Housing,MAROOCHYDORE HSC,0,14,14,Noosa,Noosa,2019,2019-08
6193,4870,1,Apartment,1/11/2019,1/11/2019,1/12/2019,Community Housing,CAIRNS HSC,0,28,28,Cairns,Cairns,2019,2019-12
6194,4870,1,Apartment,1/12/2019,1/12/2019,1/12/2019,Community Housing,CAIRNS HSC,0,4,4,Cairns,Cairns,2019,2019-12
6195,4870,1,Duplex,1/03/2020,1/03/2020,1/05/2020,Community Housing,CAIRNS HSC,0,35,35,Cairns,Cairns,2020,2020-05
6196,4870,1,Detached House,1/12/2019,1/12/2019,1/01/2020,Community Housing,CAIRNS HSC,2,28,30,Cairns,Cairns,2020,2020-01
6197,4870,1,Duplex,1/08/2019,1/08/2019,1/09/2019,Community Housing,CAIRNS HSC,0,16,16,Cairns,Cairns,2019,2019-09
6198,4870,1,Detached House,1/01/2020,1/01/2020,1/02/2020,Community Housing,CAIRNS HSC,0,14,14,Cairns,Cairns,2020,2020-02
6199,4870,1,Detached House,1/06/2019,1/06/2019,1/07/2019,Community Housing,CAIRNS HSC,0,3,3,Cairns,Cairns,2019,2019-07
6200,4870,1,Apartment,1/03/2020,1/03/2020,1/04/2020,Community Housing,CAIRNS HSC,0,29,29,Cairns,Cairns,2020,2020-04
6201,4670,1,Detached House,1/08/2019,1/08/2019,1/08/2019,Public Housing,BUNDABERG HSC,7,6,13,Bundaberg,Bundaberg,2019,2019-08
6202,4133,2,Detached House,1/04/2020,1/04/2020,1/04/2020,Community Housing,LOGAN HSC,14,0,14,Logan,Waterford,2020,2020-04
6203,4133,2,Apartment,1/03/2020,1/03/2020,1/03/2020,Community Housing,LOGAN HSC,0,12,12,Logan,Waterford,2020,2020-03
6204,4133,2,Apartment,1/01/2020,1/01/2020,1/02/2020,Community Housing,LOGAN HSC,0,15,15,Logan,Waterford,2020,2020-02
6205,4133,2,Apartment,1/05/2020,1/05/2020,1/06/2020,Community Housing,LOGAN HSC,0,32,32,Logan,Waterford,2020,2020-06
6206,4860,2,Duplex,1/08/2019,1/08/2019,1/08/2019,Community Housing,CAIRNS HSC,0,6,6,Cassowary Coast,Hill,2019,2019-08
6207,4221,2,Apartment,1/10/2019,1/10/2019,1/11/2019,Public Housing,GOLD COAST HSC,7,37,44,Gold Coast,Burleigh,2019,2019-11
6208,4870,1,Duplex,1/09/2019,1/10/2019,1/10/2019,Public Housing,CAIRNS HSC,16,13,29,Cairns,Cairns,2019,2019-10
6209,4209,3,Dual Occupancy,1/09/2019,1/09/2019,1/10/2019,Public Housing,GOLD COAST HSC,7,34,41,Gold Coast,Coomera,2019,2019-10
6210,4850,1,Cluster Housing,1/07/2019,1/07/2019,1/07/2019,Community Housing,TOWNSVILLE HSC,0,17,17,Hinchinbrook,Hinchinbrook,2019,2019-07
6211,4075,1,Attached Housing,1/05/2020,1/06/2020,1/06/2020,Public Housing,INALA HSC,22,1,23,Brisbane,Miller,2020,2020-06
6212,4075,1,Cluster Housing,1/04/2020,1/05/2020,1/06/2020,Public Housing,INALA HSC,17,17,34,Brisbane,Miller,2020,2020-06
6213,4670,1,Apartment,1/06/2019,1/06/2019,1/07/2019,Community Housing,BUNDABERG HSC,3,6,9,Bundaberg,Bundaberg,2019,2019-07
6215,4350,1,Attached Housing,1/01/2020,1/01/2020,1/01/2020,Community Housing,TOOWOOMBA AND SOUTH WEST HSC,0,8,8,Toowoomba,Toowoomba North,2020,2020-01
6216,4350,1,Apartment,1/03/2020,1/03/2020,1/05/2020,Community Housing,TOOWOOMBA AND SOUTH WEST HSC,0,77,77,Toowoomba,Toowoomba North,2020,2020-05
6217,4860,2,Attached Housing,1/08/2019,1/08/2019,1/08/2019,Community Housing,CAIRNS HSC,0,7,7,Cassowary Coast,Hill,2019,2019-08
6218,4868,4,Detached House,1/11/2019,1/11/2019,1/12/2019,Community Housing,CAIRNS HSC,0,35,35,Cairns,Mulgrave,2019,2019-12
6219,4560,1,Duplex,1/05/2019,1/05/2019,1/07/2019,Community Housing,MAROOCHYDORE HSC,1,42,43,Sunshine Coast,Nicklin,2019,2019-07
6220,4305,2,Apartment,1/06/2020,1/06/2020,1/06/2020,Community Housing,IPSWICH HSC,4,0,4,Ipswich,Ipswich,2020,2020-06
6221,4305,2,Duplex,1/08/2019,1/09/2019,1/09/2019,Community Housing,IPSWICH HSC,17,24,41,Ipswich,Ipswich,2019,2019-09
6222,4812,2,Detached House,1/09/2019,1/09/2019,1/12/2019,Public Housing,TOWNSVILLE HSC,8,69,77,Townsville,Mundingburra,2019,2019-12
6223,4812,2,Attached Housing,1/12/2019,1/12/2019,1/12/2019,Public Housing,TOWNSVILLE HSC,3,3,6,Townsville,Mundingburra,2019,2019-12
6224,4812,2,Detached House,1/01/2020,1/01/2020,1/01/2020,Public Housing,TOWNSVILLE HSC,5,16,21,Townsville,Mundingburra,2020,2020-01
6225,4812,2,Detached House,1/08/2019,1/08/2019,1/09/2019,Public Housing,TOWNSVILLE HSC,11,16,27,Townsville,Mundingburra,2019,2019-09
6226,4740,2,Apartment,1/09/2019,1/09/2019,1/09/2019,Community Housing,MACKAY HSC,0,6,6,Mackay,Mackay,2019,2019-09
6227,4740,2,Apartment,1/06/2020,1/06/2020,1/06/2020,Community Housing,MACKAY HSC,11,0,11,Mackay,Mackay,2020,2020-06
6228,4740,2,Duplex,1/04/2020,1/04/2020,1/05/2020,Community Housing,MACKAY HSC,0,7,7,Mackay,Mackay,2020,2020-05
6229,4102,2,Apartment,1/11/2019,1/11/2019,1/11/2019,Community Housing,BURANDA HSC,0,17,17,Brisbane,South Brisbane,2019,2019-11
6230,4102,2,Detached House,1/12/2019,1/12/2019,1/01/2020,Community Housing,BURANDA HSC,0,36,36,Brisbane,South Brisbane,2020,2020-01
6231,4560,2,Duplex,1/01/2020,1/01/2020,1/02/2020,Community Housing,MAROOCHYDORE HSC,0,31,31,Sunshine Coast,Nicklin,2020,2020-02
6232,4560,2,Apartment,1/02/2020,1/02/2020,1/03/2020,Community Housing,MAROOCHYDORE HSC,0,46,46,Sunshine Coast,Nicklin,2020,2020-03
6233,4825,2,Apartment,1/08/2019,1/08/2019,1/10/2019,Community Housing,MOUNT ISA HSC,0,63,63,Mount Isa,Traeger,2019,2019-10
6235,4031,2,Apartment,1/09/2019,1/09/2019,1/01/2020,Public Housing,CHERMSIDE HSC,9,117,126,Brisbane,Stafford,2020,2020-01
6236,4605,4,Detached House,1/10/2019,1/10/2019,1/11/2019,Community Housing,MARYBOROUGH HSC,6,12,18,South Burnett,Nanango,2019,2019-11
6237,4740,2,Apartment,1/06/2020,1/06/2020,1/06/2020,Community Housing,MACKAY HSC,12,6,18,Mackay,Mackay,2020,2020-06
6238,4740,2,Detached House,1/06/2019,1/06/2019,1/07/2019,Community Housing,MACKAY HSC,0,13,13,Mackay,Mackay,2019,2019-07
6239,4740,2,Apartment,1/08/2019,1/08/2019,1/09/2019,Community Housing,MACKAY HSC,0,14,14,Mackay,Mackay,2019,2019-09
6240,4740,2,Detached House,1/06/2020,1/06/2020,1/06/2020,Community Housing,MACKAY HSC,11,10,21,Mackay,Mackay,2020,2020-06
6241,4865,2,Apartment,1/02/2020,1/02/2020,1/03/2020,Community Housing,CAIRNS HSC,0,27,27,Cairns,Mulgrave,2020,2020-03
6242,4805,2,Detached House,1/09/2019,1/12/2019,1/12/2019,Community Housing,MACKAY HSC,75,13,88,Whitsunday,Burdekin,2019,2019-12
6243,4605,4,Detached House,1/02/2020,1/02/2020,1/02/2020,Community Housing,MARYBOROUGH HSC,0,16,16,South Burnett,Nanango,2020,2020-02
6244,4570,4,Duplex,1/08/2019,1/08/2019,1/09/2019,Community Housing,MAROOCHYDORE HSC,2,16,18,Gympie,Gympie,2019,2019-09
6245,4670,2,Cluster Housing,1/01/2020,1/02/2020,1/02/2020,Community Housing,BUNDABERG HSC,5,7,12,Bundaberg,Bundaberg,2020,2020-02
6246,4077,1,Apartment,1/02/2020,1/02/2020,1/02/2020,Community Housing,INALA HSC,12,0,12,Brisbane,Inala,2020,2020-02
6247,4869,2,Apartment,1/01/2020,1/01/2020,1/04/2020,Public Housing,CAIRNS HSC,13,93,106,Cairns,Mulgrave,2020,2020-04
6248,4670,2,Cluster Housing,1/02/2020,1/02/2020,1/03/2020,Public Housing,BUNDABERG HSC,4,6,10,Bundaberg,Bundaberg,2020,2020-03
6250,4022,3,Cluster Housing,1/08/2019,1/09/2019,1/10/2019,Community Housing,MORETON BAY HSC,12,31,43,Moreton Bay,Bancroft,2019,2019-10
6251,4022,3,Detached House,1/06/2019,1/07/2019,1/07/2019,Community Housing,MORETON BAY HSC,28,6,34,Moreton Bay,Bancroft,2019,2019-07
6252,4209,2,Apartment,1/10/2019,1/10/2019,1/11/2019,Community Housing,GOLD COAST HSC,0,43,43,Gold Coast,Coomera,2019,2019-11
